state,action
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","0"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","2"
"[2, 0]","3"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","3"
"[2, 2]","0"
"[1, 2]","4"
"[1, 2]","4"
"[1, 2]","4"
"[1, 2]","1"
"[2, 2]","2"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","0"
"[1, 1]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","4"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","4"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","1"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","2"
"[1, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","4"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","4"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","0"
"[0, 0]","3"
"[0, 1]","0"
"[0, 1]","1"
"[1, 1]","1"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","1"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","4"
"[3, 1]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","4"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","2"
"[3, 0]","0"
"[2, 0]","4"
"[2, 0]","3"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","0"
"[1, 1]","1"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","4"
"[2, 1]","1"
"[3, 1]","1"
"[np.int32(9), np.int32(9)]","0"
"[np.int32(8), np.int32(9)]","4"
"[np.int32(8), np.int32(9)]","4"
"[np.int32(8), np.int32(9)]","3"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","1"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","0"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","1"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","1"
"[9, 8]","2"
"[9, 7]","4"
"[9, 7]","4"
"[9, 7]","4"
"[9, 7]","4"
"[9, 7]","1"
"[9, 7]","0"
"[8, 7]","3"
"[8, 8]","4"
"[8, 8]","4"
"[8, 8]","1"
"[9, 8]","4"
"[9, 8]","3"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","3"
"[9, 9]","2"
"[9, 8]","1"
"[9, 8]","4"
"[9, 8]","3"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","3"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","3"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","2"
"[9, 7]","4"
"[9, 7]","0"
"[8, 7]","3"
"[8, 8]","4"
"[8, 8]","3"
"[8, 9]","4"
"[8, 9]","3"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","4"
"[8, 9]","1"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
